,timestamp_from_machine,SER,TS,TS_R,PRES,HR,HR_DM,RR,RR_DM,ACT,ACT_DM,FW,END
191,1544882976.242033,002020,1544882975,712,0,0,0,0.0,0,0,0,t120,1
192,1544882977.2847655,002020,1544882976,713,0,0,0,0.0,0,0,0,t120,1
193,1544882978.3244894,002020,1544882977,714,0,0,0,0.0,0,0,0,t120,1
194,1544882979.3665316,002020,1544882978,715,0,0,0,0.0,0,0,0,t120,1
195,1544882980.4042284,002020,1544882979,716,0,0,0,0.0,0,0,0,t120,1
196,1544882981.4457052,002020,1544882980,717,0,0,0,0.0,0,0,0,t120,1
197,1544882982.492371,002020,1544882981,718,0,0,0,0.0,0,0,0,t120,1
198,1544882983.5347404,002020,1544882982,719,0,0,0,0.0,0,0,0,t120,1
199,1544882984.5744493,002020,1544882983,720,0,0,0,0.0,0,0,0,t120,1
200,1544882985.6147804,002020,1544882984,721,0,0,0,0.0,0,0,0,t120,1
201,1544882986.6623716,002020,1544882985,722,0,0,0,0.0,0,0,0,t120,1
202,1544882987.7136192,002020,1544882986,723,0,0,0,0.0,0,0,0,t120,1
203,1544882988.757801,002020,1544882987,724,0,0,0,0.0,0,0,0,t120,1
204,1544882989.798223,002020,1544882988,725,0,0,0,0.0,0,0,0,t120,1
205,1544882990.8384864,002020,1544882989,726,0,0,0,0.0,0,0,0,t120,1
206,1544882991.8946416,002020,1544882991,728,0,0,0,0.0,0,0,0,t120,1
207,1544882992.9362512,002020,1544882992,729,0,0,0,0.0,0,0,0,t120,1
208,1544882993.9771707,002020,1544882993,730,0,0,0,0.0,0,0,0,t120,1
209,1544882995.0208848,002020,1544882994,731,0,0,0,0.0,0,0,0,t120,1
210,1544882996.0608895,002020,1544882995,732,0,0,0,0.0,0,0,0,t120,1
211,1544882997.1022937,002020,1544882996,733,0,0,0,0.0,0,0,0,t120,1
212,1544882998.144889,002020,1544882997,734,0,0,0,0.0,0,0,0,t120,1
213,1544882999.1829915,002020,1544882998,735,0,0,0,0.0,0,0,0,t120,1
214,1544883000.2256172,002020,1544882999,736,0,0,0,0.0,0,0,0,t120,1
215,1544883001.26838,002020,1544883000,737,0,0,0,0.0,0,0,0,t120,1
216,1544883002.3095567,002020,1544883001,738,0,0,0,0.0,0,0,0,t120,1
217,1544883003.3525937,002020,1544883002,739,0,0,0,0.0,0,0,0,t120,1
218,1544883004.4002514,002020,1544883003,740,0,0,0,0.0,0,0,0,t120,1
219,1544883005.4344866,002020,1544883004,741,0,0,0,0.0,0,0,0,t120,1
220,1544883006.4754868,002020,1544883005,742,0,0,0,0.0,0,0,0,t120,1
221,1544883007.5122154,002020,1544883006,743,0,0,0,0.0,0,0,0,t120,1
222,1544883008.5549703,002020,1544883007,744,0,0,0,0.0,0,0,0,t120,1
223,1544883009.5913398,002020,1544883008,745,0,0,0,0.0,0,0,0,t120,1
224,1544883010.6296349,002020,1544883009,746,0,0,0,0.0,0,0,0,t120,1
225,1544883011.6746683,002020,1544883010,747,0,0,0,0.0,0,0,0,t120,1
226,1544883012.7122107,002020,1544883011,748,0,0,0,0.0,0,0,0,t120,1
227,1544883013.7739966,002020,1544883012,749,0,0,0,0.0,0,0,0,t120,1
228,1544883014.8244832,002020,1544883013,750,0,0,0,0.0,0,0,0,t120,1
229,1544883015.8573937,002020,1544883014,751,0,0,0,0.0,0,0,0,t120,1
230,1544883016.897836,002020,1544883016,753,0,0,0,0.0,0,0,0,t120,1
231,1544883017.9340708,002020,1544883017,754,0,0,0,0.0,0,0,0,t120,1
232,1544883018.9752924,002020,1544883018,755,0,0,0,0.0,0,0,0,t120,1
233,1544883020.0178988,002020,1544883019,756,0,0,0,0.0,0,0,0,t120,1
234,1544883021.0644958,002020,1544883020,757,0,0,0,0.0,0,0,0,t120,1
235,1544883022.960249,002020,1544883022,759,0,0,0,0.0,0,0,0,t120,1
236,1544883024.088462,002020,1544883023,760,0,0,0,0.0,0,0,0,t120,1
237,1544883025.8877158,002020,1544883024,761,0,0,0,0.0,0,0,0,t120,1
238,1544883027.3065019,002020,1544883026,763,0,0,0,0.0,0,0,0,t120,1
239,1544883028.6892903,002020,1544883027,764,0,0,0,0.0,0,0,0,t120,1
240,1544883061.2596047,002020,1544883060,797,0,0,0,0.0,0,0,0,t120,1
